,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Concat
0,k403,Ramicane,Male,21,16,45,22.05012627,1,k403-45
1,s185,Capomulin,Female,3,17,45,23.34359787,1,s185-45
2,x401,Capomulin,Female,16,15,45,28.48403281,0,x401-45
3,m601,Capomulin,Male,22,17,45,28.43096411,1,m601-45
4,g791,Ramicane,Male,11,16,45,29.12847181,1,g791-45
5,s508,Ramicane,Male,1,17,45,30.27623175,0,s508-45
6,f966,Capomulin,Male,16,17,20,30.48598484,0,f966-20
7,m546,Ramicane,Male,18,16,45,30.56462509,1,m546-45
8,z578,Ramicane,Male,11,16,45,30.63869575,0,z578-45
9,j913,Ramicane,Female,4,17,45,31.56046955,1,j913-45
10,u364,Capomulin,Male,18,17,45,31.02392294,3,u364-45
11,n364,Ramicane,Male,4,17,45,31.09533505,1,n364-45
12,y793,Capomulin,Male,17,17,45,31.896238399999998,2,y793-45
13,r554,Capomulin,Female,8,17,45,32.37735684,3,r554-45
14,m957,Capomulin,Female,3,19,45,33.32909778,1,m957-45
15,c758,Ramicane,Male,9,17,45,33.39765251,1,c758-45
16,t565,Capomulin,Female,20,17,45,34.45529799,0,t565-45
17,a644,Ramicane,Female,7,17,45,32.97852192,1,a644-45
18,i177,Ramicane,Male,10,18,45,33.56240217,3,i177-45
19,j989,Ramicane,Male,8,19,45,36.13485243,1,j989-45
20,i738,Capomulin,Female,23,20,45,37.31184577,2,i738-45
21,a520,Ramicane,Male,13,21,45,38.81036633,1,a520-45
22,w914,Capomulin,Male,24,21,45,36.04104736,2,w914-45
23,r811,Ramicane,Male,9,19,45,37.22565033,1,r811-45
24,g288,Capomulin,Male,3,19,45,37.07402422,1,g288-45
25,i334,Ramicane,Female,8,20,45,36.37451039,2,i334-45
26,q610,Ramicane,Female,18,21,35,36.56165229,2,q610-35
27,d251,Ramicane,Female,8,19,45,37.31123552,2,d251-45
28,l897,Capomulin,Male,17,19,45,38.84687569,1,l897-45
29,c458,Ramicane,Female,23,20,30,38.34200823,2,c458-30
30,b742,Capomulin,Male,7,21,45,38.93963263,0,b742-45
31,b128,Capomulin,Female,9,22,45,38.98287774,2,b128-45
32,j246,Capomulin,Female,21,21,35,38.75326548,1,j246-35
33,a411,Ramicane,Male,3,22,45,38.407618299999996,1,a411-45
34,j119,Capomulin,Female,7,23,45,38.125164399999996,1,j119-45
35,w150,Capomulin,Male,23,23,10,39.95234669,0,w150-10
36,v923,Capomulin,Female,19,21,45,40.65812366,2,v923-45
37,g316,Capomulin,Female,22,22,45,40.1592203,2,g316-45
38,s710,Capomulin,Female,1,23,45,40.72857787,1,s710-45
39,l509,Capomulin,Male,17,21,45,41.48300765,3,l509-45
40,r944,Capomulin,Male,12,25,45,41.58152074,2,r944-45
41,e662,Ramicane,Male,8,24,45,40.65900627,2,e662-45
42,u196,Ramicane,Male,18,25,45,40.66771292,3,u196-45
43,q597,Ramicane,Male,20,25,45,45.22086888,2,q597-45
44,a444,Ramicane,Female,10,25,45,43.04754260000001,0,a444-45
45,i557,Capomulin,Female,1,24,45,47.68596303,1,i557-45
46,r921,Ramicane,Female,5,25,30,43.41938077,1,r921-30
47,w678,Ramicane,Female,5,24,5,43.16637266,0,w678-5
48,y449,Ramicane,Male,19,24,15,44.18345092,0,y449-15
49,a203,Infubinol,Female,20,23,45,67.97341878,2,a203-45
50,a251,Infubinol,Female,21,25,45,65.52574285,1,a251-45
52,a275,Ceftamin,Female,20,28,45,62.99935619,3,a275-45
57,a577,Infubinol,Female,6,25,30,57.03186187,2,a577-30
58,a685,Infubinol,Male,8,30,45,66.08306589,3,a685-45
65,b447,Ceftamin,Male,2,30,0,45.0,0,b447-0
66,b487,Ceftamin,Female,6,28,25,56.05774909,1,b487-25
68,b759,Ceftamin,Female,12,25,30,55.74282869,1,b759-30
70,c139,Infubinol,Male,11,28,45,72.2267309,2,c139-45
74,c326,Infubinol,Female,18,25,5,36.321345799999996,0,c326-5
82,c895,Infubinol,Female,7,29,30,60.96971133,2,c895-30
90,e476,Infubinol,Male,23,26,45,62.43540402,1,e476-45
95,f345,Infubinol,Male,23,26,45,60.91876652,1,f345-45
97,f436,Ceftamin,Female,3,25,15,48.72207785,2,f436-15
110,h531,Ceftamin,Male,5,27,5,47.784681799999994,0,h531-5
111,i386,Infubinol,Female,23,29,40,67.28962147,4,i386-40
117,j296,Ceftamin,Female,24,30,45,61.84902336,3,j296-45
121,k210,Ceftamin,Male,15,28,45,68.92318457,3,k210-45
123,k483,Infubinol,Female,20,30,45,66.19691151,3,k483-45
127,k804,Infubinol,Female,23,29,35,62.11727887,2,k804-35
132,l471,Ceftamin,Female,7,28,45,67.74866174,1,l471-45
133,l490,Ceftamin,Male,24,26,30,57.91838132,3,l490-30
134,l558,Ceftamin,Female,13,30,10,46.78453491,0,l558-10
135,l661,Ceftamin,Male,18,26,45,59.85195552,3,l661-45
138,l733,Ceftamin,Female,4,30,45,64.29983003,1,l733-45
145,m756,Infubinol,Male,19,30,5,47.01036401,1,m756-5
149,n671,Infubinol,Male,18,25,30,60.16518046,0,n671-30
154,o287,Ceftamin,Male,2,28,45,59.74190064,4,o287-45
161,o809,Infubinol,Male,3,25,35,55.62942846,1,o809-35
162,o813,Infubinol,Male,24,28,5,45.69933088,0,o813-5
170,p438,Ceftamin,Female,11,26,45,61.43389223,1,p438-45
173,q132,Infubinol,Female,1,30,30,54.65654872,4,q132-30
174,q483,Ceftamin,Male,6,26,40,64.19234114,1,q483-40
180,r157,Capomulin,Male,22,25,15,46.53920617,0,r157-15
184,s121,Infubinol,Male,23,26,25,55.65068132,2,s121-25
194,t573,Ceftamin,Female,15,27,0,45.0,0,t573-0
198,u149,Ceftamin,Male,24,29,25,52.92534846,0,u149-25
199,u153,Ceftamin,Female,11,25,0,45.0,0,u153-0
205,v339,Infubinol,Male,20,26,5,46.25011212,0,v339-5
208,v719,Infubinol,Female,17,30,20,54.04860769,1,v719-20
210,v766,Infubinol,Male,16,27,15,51.54243058,1,v766-15
215,w151,Ceftamin,Male,24,25,45,67.52748237,3,w151-45
217,w193,Infubinol,Male,22,30,20,50.00513807,0,w193-20
222,w584,Infubinol,Male,3,29,30,58.26844248,1,w584-30
227,x226,Ceftamin,Male,23,28,0,45.0,0,x226-0
231,x581,Ceftamin,Female,19,28,45,64.63494887,3,x581-45
234,x822,Ceftamin,Male,3,29,45,61.38666032,3,x822-45
236,y163,Infubinol,Female,17,27,45,67.68556862,3,y163-45
240,y769,Ceftamin,Female,6,27,45,68.59474498,4,y769-45
241,y865,Ceftamin,Male,23,26,45,64.72983655,3,y865-45
245,z581,Infubinol,Female,24,25,45,62.75445141,3,z581-45
